hecho_id,sexo,identidad_genero,identidad_genero_otro,tr_edad,mayor_18_anios,tipo_involucrado
11792,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11793,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11793,Masculino,Varón,No especificado,35-39,Si,victima
11794,Masculino,Varón,No especificado,25-29,Si,victima
11794,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11795,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11795,Masculino,Varón,No especificado,15-19,No,victima
11796,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11796,Masculino,Varón,No especificado,20-24,Si,victima
11797,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11797,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11797,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11797,Femenino,Mujer,No especificado,15-19,No,victima
11798,Masculino,Varón,No especificado,20-24,Si,victima
11798,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11799,Masculino,Varón,No especificado,35-39,Si,victima
11799,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
